Feature ordinal,Feature,Bio MAF v4 block,Recommended status,Feature count origin,What this feature measures,Why this feature is in v4,Plain-English interpretation,Source / grounding,Downloaded/local provenance,Likely reviewer criticism,Response / rationale,Signature separation note
11,vep_consequence_count__missense_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = missense_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
12,vep_consequence_fraction__missense_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = missense_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
13,vep_consequence_count__synonymous_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = synonymous_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
14,vep_consequence_fraction__synonymous_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = synonymous_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
15,vep_consequence_count__stop_gained,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = stop_gained. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
16,vep_consequence_fraction__stop_gained,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = stop_gained. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
17,vep_consequence_count__frameshift_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = frameshift_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
18,vep_consequence_fraction__frameshift_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = frameshift_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
19,vep_consequence_count__splice_acceptor_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = splice_acceptor_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
20,vep_consequence_fraction__splice_acceptor_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = splice_acceptor_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
21,vep_consequence_count__splice_donor_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = splice_donor_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
22,vep_consequence_fraction__splice_donor_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = splice_donor_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
23,vep_consequence_count__splice_region_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = splice_region_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
24,vep_consequence_fraction__splice_region_variant,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = splice_region_variant. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
25,vep_consequence_count__inframe_deletion,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = inframe_deletion. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
26,vep_consequence_fraction__inframe_deletion,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = inframe_deletion. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
27,vep_consequence_count__inframe_insertion,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = inframe_insertion. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
28,vep_consequence_fraction__inframe_insertion,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = inframe_insertion. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
29,vep_consequence_count__start_lost,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = start_lost. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
30,vep_consequence_fraction__start_lost,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Fraction of tumor mutations with consequence = start_lost. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
31,vep_consequence_count__stop_lost,v3_core_compact_biology,Core Bio MAF v4 feature,Inherited from Bio MAF v3 core: 100 VEP annotation features + 5 VAF summaries + 12 OncoKB role aggregates + 4 residual non-OncoKB aggregates = 121 features.,Count = log1p(number of events in category); fraction = category count divided by total annotated events.,Retained from Bio v3 because it captures broad mutation biology with standard annotation fields and no endpoint-specific selection.,"Count of tumor mutations with consequence = stop_lost. In plain terms: Specific VEP consequence label such as missense, stop-gained, frameshift, splice, intronic, or untranslated-region change. This feature measures how often the tumor has that category.",Ensembl VEP annotation fields,input MAF VEP annotation fields; Ensembl VEP documentation,"Annotation categories can overlap conceptually, and prediction fields such as SIFT/PolyPhen are imperfect.","These are standard VEP fields, not custom biological groupings. Counts and fractions let the model distinguish absolute burden from composition.",No COSMIC SBS/DBS/ID signature exposure is included; signatures remain a separate model matrix.
